type,key,mdate,publtype,reviewid,rating,cdate,author,editor,title,booktitle,pages,year,address,journal,volume,number,month,url,ee,cdrom,cite,publisher,note,crossref,isbn,series,school,chapter,publnr,stream,rel,aux,label,type_attr,href,orcid,bibtex,ref,sort,uri
incollection,reference/vision/X14fx,2017-07-12,encyclopedia,,,,,,Pan-Tilt Camera Calibration.,"Computer Vision, A Reference Guide",581,2014,,,,,,db/reference/vision/vision2014.html#X14fx,https://doi.org/10.1007/978-0-387-31439-6_100082,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14fy,2017-07-12,encyclopedia,,,,,,Pan-Tilt Camera Calibration.,"Computer Vision, A Reference Guide",586,2014,,,,,,db/reference/vision/vision2014.html#X14fy,https://doi.org/10.1007/978-0-387-31439-6_100083,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Hasinoff14a,2017-07-12,encyclopedia,,,,Samuel W. Hasinoff,,Saturation (Imaging).,"Computer Vision, A Reference Guide",699-701,2014,,,,,,db/reference/vision/vision2014.html#Hasinoff14a,https://doi.org/10.1007/978-0-387-31439-6_483,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Tominaga14,2017-07-12,encyclopedia,,,,Shoji Tominaga,,Color Model.,"Computer Vision, A Reference Guide",116-120,2014,,,,,,db/reference/vision/vision2014.html#Tominaga14,https://doi.org/10.1007/978-0-387-31439-6_449,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ge,2017-07-12,encyclopedia,,,,,,Picture Understanding.,"Computer Vision, A Reference Guide",610,2014,,,,,,db/reference/vision/vision2014.html#X14ge,https://doi.org/10.1007/978-0-387-31439-6_100115,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14db,2017-07-12,encyclopedia,,,,,,ICP.,"Computer Vision, A Reference Guide",371,2014,,,,,,db/reference/vision/vision2014.html#X14db,https://doi.org/10.1007/978-0-387-31439-6_100030,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gd,2017-07-12,encyclopedia,,,,,,Photometric Consistency Function.,"Computer Vision, A Reference Guide",599,2014,,,,,,db/reference/vision/vision2014.html#X14gd,https://doi.org/10.1007/978-0-387-31439-6_100042,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14bw,2017-07-12,encyclopedia,,,,,,Distance Estimation.,"Computer Vision, A Reference Guide",229,2014,,,,,,db/reference/vision/vision2014.html#X14bw,https://doi.org/10.1007/978-0-387-31439-6_100007,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gm,2017-07-12,encyclopedia,,,,,,Probabilistic Hill Climbing.,"Computer Vision, A Reference Guide",639,2014,,,,,,db/reference/vision/vision2014.html#X14gm,https://doi.org/10.1007/978-0-387-31439-6_100246,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14u,2017-07-12,encyclopedia,,,,,,Blackbody Radiator.,"Computer Vision, A Reference Guide",52,2014,,,,,,db/reference/vision/vision2014.html#X14u,https://doi.org/10.1007/978-0-387-31439-6_100202,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Wang14,2025-04-16,encyclopedia,,,,Xiaogang Wang 0001,,Face Identification.,"Computer Vision, A Reference Guide",279-285,2014,,,,,,db/reference/vision/vision2014.html#Wang14,https://doi.org/10.1007/978-0-387-31439-6_354,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14cb,2017-07-12,encyclopedia,,,,,,Environment Mapping.,"Computer Vision, A Reference Guide",247,2014,,,,,,db/reference/vision/vision2014.html#X14cb,https://doi.org/10.1007/978-0-387-31439-6_100016,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14fl,2017-07-12,encyclopedia,,,,,,Object Segmentation.,"Computer Vision, A Reference Guide",542,2014,,,,,,db/reference/vision/vision2014.html#X14fl,https://doi.org/10.1007/978-0-387-31439-6_100065,,,,,,,,,,,,,,,,,,,,,
